"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","edit section in assessment","GetLinked-Recruiter","Fri Nov 15 18:53:27 GMT 2024","passed","Fri Nov 15 18:53:27 GMT 2024","Assessment Section > SectionAssessment","Assessment as a service","",""
"","95","candidate_job_application_progression-Invalid Stage ID","GetLinked-Recruiter","Fri Nov 15 18:53:14 GMT 2024","failed","Fri Nov 15 18:53:14 GMT 2024","JOB PIPELINE > candidate job application","Job","",""
"","317","proctoring report","GetLinked-Recruiter","Fri Nov 15 18:53:31 GMT 2024","passed","Fri Nov 15 18:53:32 GMT 2024","Proctoring > proctoring report","Assessment as a service","",""
"","115","resend otp","GetLinked-Recruiter","Fri Nov 15 18:53:00 GMT 2024","failed","Fri Nov 15 18:53:01 GMT 2024","Company > company email > Resend OTP","AUTHENTICATION","",""
"","101","Company recruiters - Valid ID","GetLinked-Recruiter","Fri Nov 15 18:53:05 GMT 2024","failed","Fri Nov 15 18:53:05 GMT 2024","Recruiter","AUTHENTICATION","",""
"","234","resend registration otp","GetLinked-Recruiter","Fri Nov 15 18:52:49 GMT 2024","passed","Fri Nov 15 18:52:49 GMT 2024","resend registarion otp","AUTHENTICATION","",""
"","100","Upload Bulk Questions","GetLinked-Recruiter","Fri Nov 15 18:53:37 GMT 2024","failed","Fri Nov 15 18:53:37 GMT 2024","Question Pack > Upload Bulk Questions","Assessment as a service","",""
"","96","recalculate matching score","GetLinked-Recruiter","Fri Nov 15 18:53:15 GMT 2024","failed","Fri Nov 15 18:53:15 GMT 2024","JOB PIPELINE > Recalculate matching score","Job","",""
"","92","list questions in an interview pack-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:39 GMT 2024","passed","Fri Nov 15 18:53:39 GMT 2024","Video Interview > List Questions in an interview","Assessment as a service","",""
"","90","remove job applicant from pipeline","GetLinked-Recruiter","Fri Nov 15 18:53:14 GMT 2024","passed","Fri Nov 15 18:53:14 GMT 2024","JOB PIPELINE > Remove job applicant","Job","",""
"","104","candidate_job_application_progression-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:14 GMT 2024","failed","Fri Nov 15 18:53:14 GMT 2024","JOB PIPELINE > candidate job application","Job","",""
"","128","Add Question to a Pack","GetLinked-Recruiter","Fri Nov 15 18:53:36 GMT 2024","failed","Fri Nov 15 18:53:36 GMT 2024","Question Pack > Add Question to a Pack","Assessment as a service","",""
"","97","fetch_job_applications_in_job-Invalid job unique ID","GetLinked-Recruiter","Fri Nov 15 18:53:23 GMT 2024","failed","Fri Nov 15 18:53:23 GMT 2024","fetch_job_applications","Job","",""
"","108","update job pipeline","GetLinked-Recruiter","Fri Nov 15 18:53:09 GMT 2024","passed","Fri Nov 15 18:53:09 GMT 2024","JOB PIPELINE > Update job pipeline","Job","",""
"","96","Add question pack to section","GetLinked-Recruiter","Fri Nov 15 18:53:37 GMT 2024","failed","Fri Nov 15 18:53:37 GMT 2024","Question Pack > Add question pack to section","Assessment as a service","",""
"","102","create assessment interview-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:40 GMT 2024","passed","Fri Nov 15 18:53:40 GMT 2024","Video Interview > Create Assessment interview","Assessment as a service","",""
"","91","invite candidates viia invite document","GetLinked-Recruiter","Fri Nov 15 18:53:30 GMT 2024","passed","Fri Nov 15 18:53:30 GMT 2024","Invitation","Assessment as a service","",""
"","95","edit question in interview pack-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:39 GMT 2024","passed","Fri Nov 15 18:53:39 GMT 2024","Video Interview > Edit Question  Interview","Assessment as a service","",""
"","98","Invalid email - export candidate result","GetLinked-Recruiter","Fri Nov 15 18:53:33 GMT 2024","failed","Fri Nov 15 18:53:33 GMT 2024","Result Managment > export candidate result","Assessment as a service","",""
"","95","submit interview-Invalid Interview ID","GetLinked-Recruiter","Fri Nov 15 18:53:45 GMT 2024","failed","Fri Nov 15 18:53:45 GMT 2024","Video Interview > Submit interview","Assessment as a service","",""
"","96","CreateAssessment-ID Validation","GetLinked-Recruiter","Fri Nov 15 18:53:28 GMT 2024","failed","Fri Nov 15 18:53:28 GMT 2024","Assessment > Create Assessment","Assessment as a service","",""
"","94","bulk update-Invalid Pipeline ID","GetLinked-Recruiter","Fri Nov 15 18:53:12 GMT 2024","failed","Fri Nov 15 18:53:12 GMT 2024","JOB PIPELINE > Bulk Update","Job","",""
"","101","job pipeline details-Invalid job pipeline detail","GetLinked-Recruiter","Fri Nov 15 18:53:10 GMT 2024","failed","Fri Nov 15 18:53:10 GMT 2024","JOB PIPELINE > Job Pipeline details","Job","",""
"","115","filter values","GetLinked-Recruiter","Fri Nov 15 18:53:26 GMT 2024","passed","Fri Nov 15 18:53:26 GMT 2024","CV PARSER","Candidates","",""
"","90","Update Assessment-Validatereturneddetails","GetLinked-Recruiter","Fri Nov 15 18:53:28 GMT 2024","passed","Fri Nov 15 18:53:28 GMT 2024","Assessment > UpdateAssessment","Assessment as a service","",""
"","94","No email - email_check","GetLinked-Recruiter","Fri Nov 15 18:53:47 GMT 2024","failed","Fri Nov 15 18:53:47 GMT 2024","email_check","Global_Intern","",""
"","95","Individual candidate result detail-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:46 GMT 2024","passed","Fri Nov 15 18:53:46 GMT 2024","Video Interview > Individual candidate result detail","Assessment as a service","",""
"","97","track_job_view","GetLinked-Recruiter","Fri Nov 15 18:53:24 GMT 2024","failed","Fri Nov 15 18:53:24 GMT 2024","track_job_view","Job","",""
"","95","get job details- Invalid Job ID","GetLinked-Recruiter","Fri Nov 15 18:53:24 GMT 2024","failed","Fri Nov 15 18:53:24 GMT 2024","get job details","Job","",""
"","126","Empty fields - change_password","GetLinked-Recruiter","Fri Nov 15 18:52:53 GMT 2024","passed","Fri Nov 15 18:52:53 GMT 2024","Change password","AUTHENTICATION","",""
"","105","list questions in an interview pack","GetLinked-Recruiter","Fri Nov 15 18:53:39 GMT 2024","failed","Fri Nov 15 18:53:39 GMT 2024","Video Interview > List Questions in an interview","Assessment as a service","",""
"","89","remove section from assessment","GetLinked-Recruiter","Fri Nov 15 18:53:29 GMT 2024","passed","Fri Nov 15 18:53:29 GMT 2024","Assessment > DeleteQuestionfromAssessment","Assessment as a service","",""
"","99","upload bulk cv to pipeline-Zip file","GetLinked-Recruiter","Fri Nov 15 18:53:15 GMT 2024","failed","Fri Nov 15 18:53:15 GMT 2024","JOB PIPELINE > Upload bulk CV","Job","",""
"","95","create a custom job pipeline","GetLinked-Recruiter","Fri Nov 15 18:53:09 GMT 2024","failed","Fri Nov 15 18:53:09 GMT 2024","JOB PIPELINE > Create a Custom job pipeline","Job","",""
"","96","verify_email -No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:00 GMT 2024","passed","Fri Nov 15 18:53:00 GMT 2024","Company > company email > Verify Email","AUTHENTICATION","",""
"","95","recalculate matching score-Invalid IDs","GetLinked-Recruiter","Fri Nov 15 18:53:15 GMT 2024","passed","Fri Nov 15 18:53:15 GMT 2024","JOB PIPELINE > Recalculate matching score","Job","",""
"","123","create company","GetLinked-Recruiter","Fri Nov 15 18:53:01 GMT 2024","passed","Fri Nov 15 18:53:01 GMT 2024","Company > Create Company","AUTHENTICATION","",""
"","112","submit interview-No Auth","GetLinked-Recruiter","Fri Nov 15 18:53:45 GMT 2024","passed","Fri Nov 15 18:53:46 GMT 2024","Video Interview > Submit interview","Assessment as a service","",""
"","99","Invalid candidate id - remove candidate","GetLinked-Recruiter","Fri Nov 15 18:53:25 GMT 2024","failed","Fri Nov 15 18:53:25 GMT 2024","Remove candidate","Candidates","",""
"","104","delete assessment interview-Invalid ID","GetLinked-Recruiter","Fri Nov 15 18:53:41 GMT 2024","failed","Fri Nov 15 18:53:41 GMT 2024","Video Interview > delete assessment interview","Assessment as a service","",""
"","113","empty fields - register","GetLinked-Recruiter","Fri Nov 15 18:52:48 GMT 2024","passed","Fri Nov 15 18:52:48 GMT 2024","Register","AUTHENTICATION","",""
"","95","No auth -  Upload Bulk Questions","GetLinked-Recruiter","Fri Nov 15 18:53:37 GMT 2024","passed","Fri Nov 15 18:53:37 GMT 2024","Question Pack > Upload Bulk Questions","Assessment as a service","",""
"","94","candidate_job_application_progression-Empty fields","GetLinked-Recruiter","Fri Nov 15 18:53:14 GMT 2024","failed","Fri Nov 15 18:53:14 GMT 2024","JOB PIPELINE > candidate job application","Job","",""
