"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 17:45:44 GMT 2024","Sun Oct 20 17:45:44 GMT 2024","46","GetLinked Collection","Job","JOB PIPELINE","","","update percentage match score",""
"passed","Sun Oct 20 17:42:41 GMT 2024","Sun Oct 20 17:42:41 GMT 2024","50","GetLinked Collection","Assessment as a service","Assessment","","","Delete question from section",""
"passed","Sun Oct 20 17:45:45 GMT 2024","Sun Oct 20 17:45:45 GMT 2024","40","GetLinked Collection","Job","","","","fetch_job_applications_in_job",""
"passed","Sun Oct 20 17:45:00 GMT 2024","Sun Oct 20 17:45:00 GMT 2024","61","GetLinked Collection","Assessment as a service","Question Pack","","","Get Question Pack Details",""
"failed","Sun Oct 20 17:42:38 GMT 2024","Sun Oct 20 17:42:38 GMT 2024","83","GetLinked Collection","AUTHENTICATION","Register","","","already existing user - register",""
"failed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","67","GetLinked Collection","AUTHENTICATION Copy","Register","","","Invalid name - register",""
"passed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","52","GetLinked Collection","AUTHENTICATION Copy","","","","verify_account",""
"passed","Sun Oct 20 17:45:45 GMT 2024","Sun Oct 20 17:45:45 GMT 2024","39","GetLinked Collection","Job","","","","fetch jobs",""
"passed","Sun Oct 20 17:45:37 GMT 2024","Sun Oct 20 17:45:37 GMT 2024","46","GetLinked Collection","Job","JOB PIPELINE","","","bulk update",""
"passed","Sun Oct 20 17:45:01 GMT 2024","Sun Oct 20 17:45:01 GMT 2024","109","GetLinked Collection","Assessment as a service","Question Pack","","","Add Question to a Pack",""
"broken","Sun Oct 20 17:44:59 GMT 2024","Sun Oct 20 17:44:59 GMT 2024","28","GetLinked Collection","Assessment as a service","Result Managment","","","candidate answers",""
"broken","Sun Oct 20 17:42:42 GMT 2024","Sun Oct 20 17:42:42 GMT 2024","31","GetLinked Collection","Assessment as a service","Assessment","","","generate intro message",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","60","GetLinked Collection","Assessment as a service","Proctoring","","","update proctoring report",""
"passed","Sun Oct 20 17:42:40 GMT 2024","Sun Oct 20 17:42:40 GMT 2024","46","GetLinked Collection","AUTHENTICATION Copy","","","","get_user_details",""
"passed","Sun Oct 20 17:44:59 GMT 2024","Sun Oct 20 17:44:59 GMT 2024","113","GetLinked Collection","Assessment as a service","Result Managment","","","edit comment",""
"passed","Sun Oct 20 17:45:36 GMT 2024","Sun Oct 20 17:45:37 GMT 2024","139","GetLinked Collection","Job","JOB PIPELINE > Comment > Get Comment on Applicant > Post a Comment","","","post a comment",""
"broken","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","57","GetLinked Collection","Assessment as a service","Dashboards","","","assessment detail",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","47","GetLinked Collection","Assessment as a service","Result Managment","","","get result overview",""
"passed","Sun Oct 20 17:45:45 GMT 2024","Sun Oct 20 17:45:45 GMT 2024","43","GetLinked Collection","Job","","","","track_job_view",""
"passed","Sun Oct 20 17:45:01 GMT 2024","Sun Oct 20 17:45:01 GMT 2024","59","GetLinked Collection","Assessment as a service","Question Pack","","","Create Question in Question Pack",""
"broken","Sun Oct 20 17:45:36 GMT 2024","Sun Oct 20 17:45:36 GMT 2024","167","GetLinked Collection","Assessment as a service","Video Interview","","","candidate answer",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","41","GetLinked Collection","Assessment as a service","Take Assessment","","","mark as started",""
"failed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","82","GetLinked Collection","AUTHENTICATION Copy","Register","","","register Copy 3",""
"passed","Sun Oct 20 17:45:38 GMT 2024","Sun Oct 20 17:45:39 GMT 2024","902","GetLinked Collection","Job","JOB PIPELINE","","","fetch my job pipelines",""
"passed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","54","GetLinked Collection","AUTHENTICATION Copy","","","","login",""
"passed","Sun Oct 20 17:44:55 GMT 2024","Sun Oct 20 17:44:57 GMT 2024","1750","GetLinked Collection","Assessment as a service","Test","","","fetch all tests",""
"passed","Sun Oct 20 17:45:45 GMT 2024","Sun Oct 20 17:45:45 GMT 2024","40","GetLinked Collection","Job","","","","get job details",""
"passed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","58","GetLinked Collection","AUTHENTICATION Copy","","","","change_password",""
"passed","Sun Oct 20 17:45:37 GMT 2024","Sun Oct 20 17:45:37 GMT 2024","48","GetLinked Collection","Job","JOB PIPELINE","","","delete pipeline",""
"passed","Sun Oct 20 17:45:44 GMT 2024","Sun Oct 20 17:45:45 GMT 2024","42","GetLinked Collection","Job","","","","fetch industries",""
"failed","Sun Oct 20 17:42:38 GMT 2024","Sun Oct 20 17:42:38 GMT 2024","81","GetLinked Collection","AUTHENTICATION","Register","","","empty fields - register",""
"passed","Sun Oct 20 17:45:35 GMT 2024","Sun Oct 20 17:45:36 GMT 2024","429","GetLinked Collection","Assessment as a service","Video Interview","","","retrieve an interview pack",""
"broken","Sun Oct 20 17:45:44 GMT 2024","Sun Oct 20 17:45:44 GMT 2024","186","GetLinked Collection","Job","JOB PIPELINE","","","recalculate matching score",""
"broken","Sun Oct 20 17:45:36 GMT 2024","Sun Oct 20 17:45:36 GMT 2024","15","GetLinked Collection","Assessment as a service","Video Interview","","","accept interview invitation",""
"passed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","73","GetLinked Collection","AUTHENTICATION Copy","","","","resend_talent_email_verification_code",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","40","GetLinked Collection","Assessment as a service","Take Assessment","","","candidate answer",""
"passed","Sun Oct 20 17:42:38 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","60","GetLinked Collection","AUTHENTICATION","","","","resend_talent_email_verification_code",""
"passed","Sun Oct 20 17:42:40 GMT 2024","Sun Oct 20 17:42:40 GMT 2024","54","GetLinked Collection","Assessment as a service","Assessment Section","","","Create Section",""
"passed","Sun Oct 20 17:45:36 GMT 2024","Sun Oct 20 17:45:36 GMT 2024","137","GetLinked Collection","Assessment as a service","Video Interview","","","list questions in an interview pack",""
"passed","Sun Oct 20 17:45:44 GMT 2024","Sun Oct 20 17:45:44 GMT 2024","44","GetLinked Collection","Job","JOB PIPELINE","","","candidate_job_application_progression",""
"passed","Sun Oct 20 17:42:39 GMT 2024","Sun Oct 20 17:42:39 GMT 2024","51","GetLinked Collection","AUTHENTICATION","","","","get_user_details",""
"broken","Sun Oct 20 17:45:37 GMT 2024","Sun Oct 20 17:45:37 GMT 2024","163","GetLinked Collection","Job","JOB PIPELINE","","","create a custom job pipeline",""
"passed","Sun Oct 20 17:42:40 GMT 2024","Sun Oct 20 17:42:40 GMT 2024","74","GetLinked Collection","AUTHENTICATION Copy","","","","has updated password",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:58 GMT 2024","52","GetLinked Collection","Assessment as a service","Invitation","","","ExcelFileAnalysis",""
"passed","Sun Oct 20 17:45:44 GMT 2024","Sun Oct 20 17:45:44 GMT 2024","48","GetLinked Collection","Job","","","","create_job","job_types are :

- FULL_TIME
- PART_TIME
- INTERNSHIP
- CONTRACT
- VOLUNTEER
    

job status:

- DRAFT
- OPEN
- CLOSED
    

proficiency level

- INTERN
- ENTRY_LEVEL
- MID_LEVEL
- SENIOR_LEVEL
    

type of assessment

- GENERIC_ASSESSMENT
- CUSTOM_ASSESSMENT"
"passed","Sun Oct 20 17:45:39 GMT 2024","Sun Oct 20 17:45:44 GMT 2024","5392","GetLinked Collection","Job","JOB PIPELINE","","","recruiter pipelines",""
"passed","Sun Oct 20 17:45:04 GMT 2024","Sun Oct 20 17:45:04 GMT 2024","91","GetLinked Collection","Assessment as a service","Question Pack","","","edit question in pack",""
"broken","Sun Oct 20 17:45:36 GMT 2024","Sun Oct 20 17:45:36 GMT 2024","15","GetLinked Collection","Assessment as a service","Video Interview","","","assessment interview detail",""
"passed","Sun Oct 20 17:44:58 GMT 2024","Sun Oct 20 17:44:59 GMT 2024","41","GetLinked Collection","Assessment as a service","Result Managment","","","export candidate result",""
